State,Total nonfarm,Mining and logging,"Mining, logging, and construction",Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Pennsylvania,6167.70,23.60,280.40,256.80,566.70,1142.50,93.30,342.80,834.00,1365.20,582.50,262.30,698.00
Rhode Island,512.60,0.20,21.60,21.40,41.10,77.70,5.60,34.90,71.70,113.30,60.00,21.80,64.90
South Carolina,2373.50,4.60,120.80,116.20,268.80,450.50,29.10,124.70,321.10,296.10,291.70,91.60,379.10
South Dakota,468.50,1.30,31.10,29.80,44.80,91.50,5.20,27.60,38.20,78.10,51.00,18.20,82.80
Tennessee,3333.80,4.60,158.10,153.50,362.20,686.80,54.50,182.70,448.20,496.10,368.10,130.20,446.90
Texas,14195.60,208.20,1060.60,852.40,974.80,2788.20,233.90,919.70,2154.00,1943.50,1528.90,493.00,2099.00
Utah,1755.30,10.90,150.90,140.00,155.80,316.80,43.00,97.90,250.30,244.90,174.40,46.50,274.80
Vermont,314.80,0.80,16.60,15.80,27.90,52.80,4.50,12.20,33.90,63.90,37.00,10.30,55.70
Virginia,4245.50,7.30,231.10,223.80,249.70,678.50,69.80,222.00,814.50,610.40,415.40,203.80,750.30
Washington,3663.30,5.60,235.70,230.10,280.80,621.90,164.60,167.70,552.00,556.80,354.20,126.70,602.90
West Virginia,721.80,21.50,55.20,33.70,45.70,121.70,7.70,26.00,72.90,139.00,71.90,23.90,157.80
Wisconsin,3037.40,4.00,143.40,139.40,481.60,554.90,47.80,159.10,328.30,479.20,288.90,147.10,407.10
Wyoming,294.30,17.00,39.60,22.60,10.70,52.40,3.10,11.60,21.50,29.40,39.60,15.60,70.80
