State,Government Function,Full-Time Employment,Full-Time Payroll (whole dollars),Part-Time Employment,Part-Time Payroll (whole dollars),Full-Time Equivalent Employment,Total Full-Time and Part-Time Employment,Total Payroll (whole dollars)
CA,Fire Protection Total,0,0,0,0,0,0,0
CA,Fire Protection - Firefighters,0,0,0,0,0,0,0
CA,Fire Protection - Other,0,0,0,0,0,0,0
CA,Corrections,"55,777","534,601,717","1,556","6,834,843","56,858","57,333","541,436,560"
CA,Highways,"20,676","181,698,897",625,"3,937,193","21,205","21,301","185,636,090"
CA,Air Transportation,0,0,0,0,0,0,0
CA,Sea and Inland Port Facilities,0,0,0,0,0,0,0
CA,Public Welfare,"5,869","39,399,398",399,"1,179,323","6,037","6,268","40,578,721"
CA,Health,"15,791","129,585,978",736,"2,395,298","16,243","16,527","131,981,276"
CA,Hospitals,"64,981","667,336,706","6,566","36,746,252","69,716","71,547","704,082,958"
CA,Social Insurance Administration,"13,225","91,920,097","1,287","5,317,178","14,095","14,512","97,237,275"
CA,Solid Waste Management,731,"5,589,583",29,"83,611",749,760,"5,673,194"
CA,Sewerage,0,0,0,0,0,0,0
CA,Parks and Recreation,"2,436","17,070,519","2,439","5,087,808","3,899","4,875","22,158,327"
CA,Housing and Community Development,0,0,0,0,0,0,0
CA,Natural Resources,"17,483","143,063,509","3,078","8,526,763","19,669","20,561","151,590,272"
CA,Water Supply,0,0,0,0,0,0,0
CA,Electric Power,0,0,0,0,0,0,0
CA,Gas Supply,0,0,0,0,0,0,0
CA,Transit,0,0,0,0,0,0,0
CA,Education Total,"146,247","1,349,451,821","131,769","242,971,169","187,615","278,016","1,592,422,990"
CA,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
CA,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
CA,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
CA,Education - Higher Education Total,"142,167","1,321,740,658","131,389","242,146,278","183,354","273,556","1,563,886,936"
CA,Education - Higher Education Instructional,"60,761","706,006,262","31,644","103,994,800","72,302","92,405","810,001,062"
CA,Education - Higher Education Other,"81,406","615,734,396","99,745","138,151,478","111,052","181,151","753,885,874"
CA,Education - Other,"4,080","27,711,163",380,"824,891","4,261","4,460","28,536,054"
CA,Libraries,0,0,0,0,0,0,0
CA,State liquor stores,0,0,0,0,0,0,0
CA,All other and unallocable,"20,450","158,661,013",854,"2,393,900","20,817","21,304","161,054,913"
CO,Total - All Government Employment Functions,"74,903","549,717,973","42,436","75,397,636","97,677","117,339","625,115,609"
CO,Financial Administration,"3,297","21,548,979",75,"165,457","3,343","3,372","21,714,436"
CO,Other Government Administration,556,"3,353,175",166,"597,394",681,722,"3,950,569"
CO,Judicial and Legal,"5,390","36,054,794",368,"1,287,563","5,663","5,758","37,342,357"
CO,Police Protection Total,"1,359","11,042,108",0,0,"1,359","1,359","11,042,108"
CO,Police Protection - Persons with Power of Arrest,801,"7,139,758",0,0,801,801,"7,139,758"
CO,Police Protection - Other,558,"3,902,350",0,0,558,558,"3,902,350"
CO,Fire Protection Total,0,0,0,0,0,0,0
CO,Fire Protection - Firefighters,0,0,0,0,0,0,0
CO,Fire Protection - Other,0,0,0,0,0,0,0
CO,Corrections,"6,785","34,381,142",50,"234,957","6,829","6,835","34,616,099"
CO,Highways,"2,908","16,567,217",173,"522,097","3,023","3,081","17,089,314"
CO,Air Transportation,0,0,0,0,0,0,0
CO,Sea and Inland Port Facilities,0,0,0,0,0,0,0
CO,Public Welfare,"2,650","15,477,265",166,"515,934","2,768","2,816","15,993,199"
CO,Health,"1,949","12,911,245",119,"443,615","2,045","2,068","13,354,860"
CO,Hospitals,"3,340","18,278,551",340,"808,765","3,680","3,680","19,087,316"
CO,Social Insurance Administration,"1,448","7,474,696",110,"327,942","1,544","1,558","7,802,638"
CO,Solid Waste Management,0,0,0,0,0,0,0
CO,Sewerage,0,0,0,0,0,0,0
CO,Parks and Recreation,"1,110","6,280,598",283,"511,664","1,216","1,393","6,792,262"
CO,Housing and Community Development,0,0,0,0,0,0,0
CO,Natural Resources,"1,088","6,850,742",134,"339,981","1,163","1,222","7,190,723"
CO,Water Supply,0,0,0,0,0,0,0
CO,Electric Power,0,0,0,0,0,0,0
CO,Gas Supply,0,0,0,0,0,0,0
CO,Transit,0,0,0,0,0,0,0
CO,Education Total,"40,990","345,625,676","40,417","69,536,174","62,241","81,407","415,161,850"
CO,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
CO,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
CO,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
CO,Education - Higher Education Total,"40,136","339,841,651","40,228","68,958,575","61,302","80,364","408,800,226"
CO,Education - Higher Education Instructional,"17,060","201,607,944","16,033","39,014,028","27,450","33,093","240,621,972"
CO,Education - Higher Education Other,"23,076","138,233,707","24,195","29,944,547","33,852","47,271","168,178,254"
CO,Education - Other,854,"5,784,025",189,"577,599",939,"1,043","6,361,624"
CO,Libraries,0,0,0,0,0,0,0
CO,State liquor stores,0,0,0,0,0,0,0
CO,All other and unallocable,"2,033","13,871,785",35,"106,093","2,062","2,068","13,977,878"
CT,Total - All Government Employment Functions,"48,035","402,602,874","21,913","48,022,420","56,569","69,948","450,625,294"
CT,Financial Administration,"1,888","16,262,101",52,"218,459","1,914","1,940","16,480,560"
CT,Other Government Administration,"1,199","9,137,354",224,"1,046,623","1,347","1,423","10,183,977"
CT,Judicial and Legal,"5,258","44,700,154",215,"927,559","5,312","5,473","45,627,713"
CT,Police Protection Total,"1,577","16,329,732",117,"292,519","1,593","1,694","16,622,251"
CT,Police Protection - Persons with Power of Arrest,953,"11,511,484",0,0,953,953,"11,511,484"
CT,Police Protection - Other,624,"4,818,248",117,"292,519",640,741,"5,110,767"
CT,Fire Protection Total,0,0,0,0,0,0,0
CT,Fire Protection - Firefighters,0,0,0,0,0,0,0
CT,Fire Protection - Other,0,0,0,0,0,0,0
CT,Corrections,"5,451","40,714,761",111,"642,471","5,506","5,562","41,357,232"
CT,Highways,"2,970","26,353,450",0,0,"2,970","2,970","26,353,450"
CT,Air Transportation,156,"1,548,425",0,0,156,156,"1,548,425"
CT,Sea and Inland Port Facilities,3,"36,957",1,"3,402",3,4,"40,359"
CT,Public Welfare,"4,055","32,039,121",206,"974,398","4,222","4,261","33,013,519"
CT,Health,"3,982","30,377,684",714,"3,284,914","4,356","4,696","33,662,598"
CT,Hospitals,"3,058","28,536,754","1,040","7,342,387","3,968","4,098","35,879,141"
CT,Social Insurance Administration,494,"3,909,871",185,"697,797",679,679,"4,607,668"
CT,Solid Waste Management,15,"123,431",0,0,15,15,"123,431"
CT,Sewerage,0,0,0,0,0,0,0
CT,Parks and Recreation,0,0,0,0,0,0,0
CT,Housing and Community Development,52,"421,770",2,"3,477",52,54,"425,247"
CT,Natural Resources,"1,156","8,583,553",316,"473,995","1,292","1,472","9,057,548"
CT,Water Supply,0,0,0,0,0,0,0
CT,Electric Power,0,0,0,0,0,0,0
CT,Gas Supply,0,0,0,0,0,0,0
CT,Transit,41,"391,438",0,0,41,41,"391,438"
CT,Education Total,"14,392","125,360,653","18,514","31,395,861","20,780","32,906","156,756,514"
CT,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
CT,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
CT,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
CT,Education - Higher Education Total,"12,419","107,358,877","17,998","29,528,255","18,560","30,417","136,887,132"
CT,Education - Higher Education Instructional,"4,706","50,784,739","7,446","19,933,718","7,396","12,152","70,718,457"
CT,Education - Higher Education Other,"7,713","56,574,138","10,552","9,594,537","11,164","18,265","66,168,675"
CT,Education - Other,"1,973","18,001,776",516,"1,867,606","2,220","2,489","19,869,382"
CT,Libraries,60,"419,658",15,"66,642",60,75,"486,300"
CT,State liquor stores,0,0,0,0,0,0,0
CT,All other and unallocable,"2,228","17,356,007",201,"651,916","2,303","2,429","18,007,923"
DE,Total - All Government Employment Functions,"22,141","131,757,809","8,758","17,137,699","25,630","30,899","148,895,508"
DE,Financial Administration,761,"2,964,329",15,"19,260",767,776,"2,983,589"
DE,Other Government Administration,585,"2,790,128",75,"128,688",600,660,"2,918,816"
DE,Judicial and Legal,"1,832","9,769,238",53,"127,492","1,867","1,885","9,896,730"
DE,Police Protection Total,"1,083","9,353,867",10,"26,312","1,089","1,093","9,380,179"
DE,Police Protection - Persons with Power of Arrest,823,"7,801,865",0,0,823,823,"7,801,865"
DE,Police Protection - Other,260,"1,552,002",10,"26,312",266,270,"1,578,314"
DE,Fire Protection Total,0,0,0,0,0,0,0
DE,Fire Protection - Firefighters,0,0,0,0,0,0,0
DE,Fire Protection - Other,0,0,0,0,0,0,0
DE,Corrections,"2,517","14,278,926",55,"126,708","2,553","2,572","14,405,634"
DE,Highways,"1,416","6,075,832",0,0,"1,416","1,416","6,075,832"
DE,Air Transportation,0,0,0,0,0,0,0
DE,Sea and Inland Port Facilities,0,0,0,0,0,0,0
DE,Public Welfare,"1,509","6,055,099",86,"202,782","1,567","1,595","6,257,881"
DE,Health,"1,918","8,022,835",118,"321,069","1,992","2,036","8,343,904"
DE,Hospitals,679,"2,824,262",23,"70,684",692,702,"2,894,946"
DE,Social Insurance Administration,260,"953,735",23,"43,993",269,283,"997,728"
DE,Solid Waste Management,106,"473,802",16,"30,528",118,122,"504,330"
DE,Sewerage,0,0,0,0,0,0,0
DE,Parks and Recreation,351,"1,160,791",49,"86,827",367,400,"1,247,618"
DE,Housing and Community Development,0,0,0,0,0,0,0
DE,Natural Resources,429,"2,237,693",42,"76,418",450,471,"2,314,111"
DE,Water Supply,0,0,0,0,0,0,0
DE,Electric Power,0,0,0,0,0,0,0
DE,Gas Supply,0,0,0,0,0,0,0
DE,Transit,928,"5,657,257",20,"46,286",938,948,"5,703,543"
DE,Education Total,"6,289","52,004,132","7,858","15,491,955","9,380","14,147","67,496,087"
DE,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
DE,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
DE,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
DE,Education - Higher Education Total,"5,950","49,700,190","7,825","15,446,939","9,028","13,775","65,147,129"
DE,Education - Higher Education Instructional,"1,602","17,627,023","1,380","2,813,160","2,069","2,982","20,440,183"
DE,Education - Higher Education Other,"4,348","32,073,167","6,445","12,633,779","6,959","10,793","44,706,946"
DE,Education - Other,339,"2,303,942",33,"45,016",352,372,"2,348,958"
DE,Libraries,0,0,0,0,0,0,0
DE,State liquor stores,0,0,0,0,0,0,0
DE,All other and unallocable,"1,478","7,135,883",315,"338,697","1,565","1,793","7,474,580"
FL,Total - All Government Employment Functions,"158,072","874,530,765","49,998","76,683,023","177,265","208,070","951,213,788"
FL,Financial Administration,"5,752","26,581,901",219,"244,471","5,852","5,971","26,826,372"
FL,Other Government Administration,"2,331","19,670,952",178,"200,805","2,404","2,509","19,871,757"
FL,Judicial and Legal,"18,446","99,416,412",818,"1,806,706","18,861","19,264","101,223,118"
FL,Police Protection Total,"4,102","21,505,756",165,"296,218","4,176","4,267","21,801,974"
FL,Police Protection - Persons with Power of Arrest,"2,291","12,478,173",0,0,"2,291","2,291","12,478,173"
FL,Police Protection - Other,"1,811","9,027,583",165,"296,218","1,885","1,976","9,323,801"
FL,Fire Protection Total,0,0,0,0,0,0,0
FL,Fire Protection - Firefighters,0,0,0,0,0,0,0
FL,Fire Protection - Other,0,0,0,0,0,0,0
FL,Corrections,"20,937","84,595,118",226,"297,836","21,024","21,163","84,892,954"
FL,Highways,"5,783","34,911,278",71,"88,926","5,803","5,854","35,000,204"
FL,Air Transportation,0,0,0,0,0,0,0
FL,Sea and Inland Port Facilities,0,0,0,0,0,0,0
FL,Public Welfare,"8,466","31,853,859",262,"399,143","8,583","8,728","32,253,002"
FL,Health,"15,932","55,950,492","1,164","2,343,241","16,616","17,096","58,293,733"
FL,Hospitals,"3,739","15,304,275",72,"188,020","3,775","3,811","15,492,295"
FL,Social Insurance Administration,"2,117","8,510,425",88,"146,558","2,162","2,205","8,656,983"
FL,Solid Waste Management,0,0,0,0,0,0,0
FL,Sewerage,0,0,0,0,0,0,0
